#{"t_start": 1665470161.936898, "env_id": null}
r,l,t,is_success
48.888874,799,8280.38114,
45.555542,799,8303.875067,
41.1111,799,8329.121148,
42.22221,799,8354.368463,
46.666653,799,8379.668399,
49.999985,799,8405.400616,
43.33332,799,8430.725944,
39.99999,799,8456.071746,
46.66665,799,8481.587322,
46.666653,799,8507.320617,
45.55554,799,8532.070799,
41.1111,799,8556.551086,
51.111095,799,8581.669333,
42.22221,799,8607.163336,
44.44443,799,8632.634445,
41.1111,799,8657.787013,
39.99999,799,8681.748262,
45.555542,799,8707.391203,
45.55554,799,8732.791289,
46.666653,799,8758.355194,
53.333317,799,8784.498227,
43.33332,799,8810.074865,
46.66665,799,8835.751663,
47.777763,799,8861.657294,
44.44443,799,8885.466628,
47.777763,799,8910.632578,
45.555542,799,8935.982744,
45.555542,799,8961.261465,
44.44443,799,8986.536452,
42.222206,799,9012.174155,
48.888874,799,9036.075608,
46.66665,799,9061.757708,
44.444427,799,9087.252447,
47.777763,799,9113.001607,
38.888878,799,9138.765337,
43.33332,799,9162.643641,
46.666653,799,9188.604527,
44.44443,799,9214.303357,
45.555542,799,9240.203011,
41.1111,799,9266.035323,
49.999985,799,9290.817493,
41.1111,799,9316.825774,
51.111095,799,9343.104671,
48.888874,799,9369.830844,
42.22221,799,9394.594187,
47.777763,799,9420.47458,
39.99999,799,9445.578236,
42.22221,799,9472.283869,
37.777767,799,9497.705587,
45.555542,799,9524.008698,
47.77776,799,9549.962846,
42.22221,799,9575.403592,
42.22221,799,9599.042346,
44.444427,799,9624.299616,
47.777763,799,9649.729968,
45.555542,799,9673.615777,
41.1111,799,9699.244035,
43.33332,799,9724.848278,
47.777763,799,9748.681224,
45.555542,799,9775.027196,
44.44443,799,9801.094847,
53.333317,799,9825.40099,
41.1111,799,9851.365027,
49.999985,799,9877.571555,
42.22221,799,9903.13221,
43.33332,799,9927.090102,
47.77776,799,9953.071752,
39.999985,799,9977.012706,
38.888878,799,10002.899224,
46.666653,799,10029.178935,
49.999985,799,10053.349925,
43.33332,799,10079.431193,
45.55554,799,10105.72541,
45.555542,799,10129.715521,
53.333317,799,10155.885707,
41.1111,799,10181.509941,
41.1111,799,10205.254725,
42.22221,799,10230.734005,
51.111095,799,10254.842049,
42.222206,799,10280.440764,
42.22221,799,10306.343597,
45.555542,799,10329.940083,
42.22221,799,10356.000119,
44.44443,799,10380.159477,
45.555542,799,10405.724418,
49.999985,799,10431.918443,
43.33332,799,10456.153433,
42.22221,799,10482.414444,
46.666653,799,10506.669406,
47.777763,799,10533.816236,
41.1111,799,10561.235878,
47.777763,799,10586.572391,
47.77776,799,10613.047115,
46.666653,799,10637.495492,
47.777763,799,10665.2507,
52.222206,799,10689.242619,
38.888878,799,10715.903303,
47.77776,799,10740.766042,
41.1111,799,10767.620819,
43.333317,799,10794.510165,
63,799,5641.248994,
05e-05,799,2814.769947,
6.8578505e-05,799,2827.51548,
6.8578505e-05,799,2841.946333,
6.8578505e-05,799,2855.97626,
6.8578505e-05,799,2870.60411,
6.8578505e-05,799,2885.438102,
6.8578505e-05,799,2899.659613,
6.8578505e-05,799,2913.085797,
6.8578505e-05,799,2927.827771,
6.8578505e-05,799,2941.999962,
6.8578505e-05,799,2954.958766,
6.8578505e-05,799,2969.464724,
6.8578505e-05,799,2983.961384,
