#{"t_start": 1662979718.8494632, "env_id": null}
r,l,t,is_success
-14.0,3,249.426661,
-14.0,3,250.141063,
-14.0,3,250.875391,
-14.0,3,251.568363,
-14.0,3,252.232019,
-14.0,3,253.09587,
-14.0,3,253.806201,
-14.0,3,254.501287,
-14.0,3,255.193059,
-14.0,3,255.849526,
-14.0,3,256.532867,
-14.0,3,257.204324,
-14.0,3,257.952127,
-14.0,3,258.602396,
-14.0,3,259.376116,
-14.0,3,260.091447,
-14.0,3,260.809988,
-14.0,3,261.517152,
-14.0,3,262.24113,
-14.0,3,262.91955,
-14.0,3,263.640743,
-14.0,3,264.443674,
-14.0,3,265.099204,
-14.0,3,265.749142,
-14.0,3,266.433579,
-14.0,3,267.032542,
-14.0,3,267.726593,
-14.0,3,268.448544,
-14.0,3,269.145326,
-14.0,3,269.79436,
-14.0,3,270.584165,
-14.0,3,271.283876,
-14.0,3,271.965207,
-14.0,3,272.707575,
-14.0,3,273.461145,
-14.0,3,274.139522,
-14.0,3,274.868246,
-14.0,3,275.598023,
-14.0,3,276.432781,
-14.0,3,277.108842,
-14.0,3,277.817965,
-14.0,3,278.454092,
-14.0,3,279.129442,
-14.0,3,279.862304,
-14.0,3,280.541851,
-14.0,3,281.188753,
-14.0,3,281.94217,
-14.0,3,282.673852,
-14.0,3,283.308231,
-14.0,3,284.314064,
-14.0,3,285.068464,
-14.0,3,285.783671,
-14.0,3,286.412874,
-14.0,3,287.240919,
-14.0,3,287.983347,
-14.0,3,288.711351,
-14.0,3,289.444922,
-14.0,3,290.05991,
-14.0,3,290.800132,
-14.0,3,291.491037,
-14.0,3,292.16362,
-14.0,3,292.931134,
-14.0,3,293.599588,
-14.0,3,294.242886,
-14.0,3,294.957666,
-14.0,3,295.602587,
-14.0,3,296.305477,
-14.0,3,297.028671,
-14.0,3,297.713212,
-14.0,3,298.46348,
-14.0,3,299.166059,
-14.0,3,299.802588,
-14.0,3,300.456456,
-14.0,3,301.11499,
-14.0,3,301.832952,
-14.0,3,302.562087,
-14.0,3,303.222896,
-14.0,3,303.883693,
-14.0,3,304.647529,
-14.0,3,305.387053,
-14.0,3,306.039929,
-14.0,3,306.774503,
-14.0,3,307.519495,
-14.0,3,308.246548,
-14.0,3,308.848535,
-14.0,3,309.564247,
-14.0,3,310.397299,
-14.0,3,311.117883,
-14.0,3,311.800769,
-14.0,3,312.518686,
-14.0,3,313.240322,
-14.0,3,313.922957,
-14.0,3,314.567631,
-14.0,3,315.204741,
-14.0,3,315.904531,
-14.0,3,316.634647,
-14.0,3,317.322438,
-14.0,3,318.047739,
-14.0,3,318.702791,
-14.0,3,319.730465,
8912,13,233.538172,
-2.8888912,13,233.986064,
-1.7777805,14,234.479733,
-5.1111126,11,234.875008,
-1.7777805,14,235.317495,
-1.7777805,14,235.784639,
-3.333334,7,236.130088,
-1.9073486e-06,10,236.549856,
-2.8888912,13,237.014368,
-1.7777805,14,237.508897,
-2.8888912,13,237.959722,
2.2222195,12,238.396061,
-2.8888912,13,238.841302,
-1.7777805,14,239.404792,
-1.7777805,14,239.848652,
-2.8888912,13,240.270237,
-2.8888912,13,240.714691,
-0.66666985,15,241.199646,
-1.7777805,14,241.646814,
-2.8888912,13,242.100585,
-2.8888912,13,242.582518,
-1.7777805,14,243.388193,
