#{"t_start": 1663259016.4642055, "env_id": null}
r,l,t,is_success
-12.888889,4,1307.996531,
-14.0,3,1308.240475,
-14.0,3,1308.489229,
-16.0,4,1308.740108,
-8.891027,8,1309.1034-1.6310577,20,2449.070647,
2.6666622,18,2449.639925,
-9.555555,7,2449.980324,
-10.96439,17,2450.53004,
9.999994,19,2451.121015,
-1.1111126,9,2451.478051,
-7.631055,9,2451.823271,
7.775633,24,2452.487826,
2.0733595,12,2452.930737,
-11.777778,5,2453.19943,
-4.452648,33,2454.096164,
-4.000002,12,2454.548411,
-32.52208,17,2455.092053,
9.999994,19,2455.658516,
-11.777778,5,2455.972273,
1.848999,16,2456.460581,
-1.1866121,12,2456.853106,
-4.446582,12,2457.278528,
5.480053,18,2457.820239,
-27.373222,13,2458.260036,
-12.666666,7,2458.606882,
-8.444445,8,2458.93279,
-7.779916,9,2459.302967,
-3.3354712,14,2460.091782,
-8.444445,8,2460.436254,
0.14671993,16,2460.964451,
10.664522,20,2461.5729,
-2.519949,19,2462.157706,
-2.0755005,15,2462.651821,
-8.222223,11,2463.067634,
-10.666666,6,2463.396998,
-8.8910265,8,2463.736759,
-2.6666698,16,2464.266733,
-5.8155327,21,2465.104523,
-12.482196,15,2465.612771,
-9.555555,7,2465.941797,
-14.0,3,2466.221484,
-7.779916,9,2466.604563,
-11.777778,5,2466.922973,
9.851133,19,2467.490877,
4.442301,22,2468.090206,
-10.444445,9,2468.448696,
-25.557697,23,2469.104916,
0.73789024,15,2469.612318,
-4.8176646,9,2469.987358,
-10.444445,9,2470.388301,
-0.14886189,11,2470.817216,
-6.668804,11,2471.228661,
-17.777779,9,2471.594671,
-30.002136,10,2471.976942,
-7.8532763,6,2472.280278,
-1.8532791,18,2473.108098,
-20.259972,8,2473.474368,
-24.704418,14,2473.962306,
-2.8888912,14,2474.453431,
-0.14886189,11,2474.870231,
-14.0,3,2475.136449,
-12.224367,26,2475.841005,
-4.446583,12,2476.279662,
-7.0398865,7,2476.640492,
1.1111088,11,2477.049469,
1.5555515,17,2477.593423,
2.2222195,12,2478.012376,
4.5178013,17,2478.5447,
-0.37322044,13,2478.997122,
-3.335472,14,2479.444632,
-7.631055,9,2479.802722,
-10.9643955,26,2480.506695,
-1.7065544,9,2480.897019,
1.1823311,22,2481.562854,
-5.5555553,5,2481.861008,
-13.777778,6,2482.188343,
-11.70656,20,2482.803152,
-1.1111126,9,2483.18797,
-50.40883,11,2483.605493,
-10.037754,20,2484.191054,
-16.817669,22,2484.850675,
-11.777778,5,2485.144866,
-12.888889,4,2485.443676,
1.8490009,15,2486.253872,
-5.5555553,5,2486.541739,
-5.4088335,11,2486.942939,
-12.888889,4,2487.23222,
-1.3333378,20,2488.064493,
-12.888889,4,2488.351128,
-4.000002,12,2488.80015,
-7.7065535,12,2489.240988,
4.442301,20,2489.851944,
-32.29772,14,2490.326863,
-14.4465885,23,2491.000268,
0.6666622,19,2491.581861,
-6.6666665,4,2491.851816,
-21.77778,24,2492.516084,
-7.779916,9,2492.914413,
-14.888889,5,2493.217133,
-2.000002,11,2493.649662,
-4.0755005,16,2494.171752,
7.997856,27,2494.948477,
-45.037754,29,2495.718635,
-2.5220823,14,2496.177204,
-4.4444447,6,2496.502419,
-8.444445,8,2496.851125,
-0.07550144,13,2497.321234,
-14.482196,16,2497.85238,
0.73789024,14,2498.654692,
3.3333302,14,2499.131753,
1.0356083,14,2499.601887,
-3.3354712,15,2500.101403,
2.8867493,13,2500.546319,
-9.333334,10,2500.913007,
0.9601097,17,2501.457848,
-5.5576925,11,2502.001032,
7.777773,17,2502.563918,
7.4045525,20,2503.162796,
8.737883,24,2503.832984,
-9.853281,17,2504.366336,
11.775635,21,2505.000696,
-22.297728,23,2505.683196,
-10.444445,9,2506.078624,
3.2578316,16,2506.605777,
-11.777778,5,2506.909613,
-8.74217,18,2507.46828,
6.664522,22,2508.114517,
-5.1111126,12,2508.562235,
-7.333334,10,2508.96023,
-12.888889,4,2509.242898,
-8.444445,8,2509.616813,
-2.3732214,14,2510.113805,
-8.222223,11,2510.530691,
2.2200794,18,2511.435801,
-5.631055,8,2511.792573,
-40.00214,21,2512.407255,
-5.1111126,12,2512.842154,
-14.0,3,2513.36342,
-5.1111126,11,2513.802451,
-9.555555,7,2514.133036,
-4.7421665,6,2514.458704,
-1.9073486e-06,11,2514.884336,
-7.8155327,22,2515.541886,
7.7022724,20,2516.130827,
-4.5933056,6,2516.450472,
-8.037754,20,2517.118886,
-6.519943,10,2517.577354,
9.924494,22,2518.173609,
4.3689423,17,2518.674969,
-2.8888912,13,2519.088739,
-0.07550144,13,2519.525267,
-95.373215,28,2520.294071,
-5.5576925,11,2520.723846,
-11.777778,5,2521.010955,
3.480051,20,2521.601425,
-4.595442,12,2522.038433,
3.2578316,16,3160.873638,
9.999994,19,3161.464253,
-1.7777805,14,3161.93337,
9.999994,19,3162.511204,
-11.113256,26,3163.248267,
-6.6666665,4,3163.528296,
-389.5348,71,3165.218879,
8.960104,27,3165.995014,
1.5555515,17,3166.551854,
1.1111088,11,3166.972299,
-377.1474,74,3168.69396,
-242.70468,71,3170.404875,
-378.87662,71,3172.412005,
-377.56635,73,3174.111013,
9.999994,19,3174.706425,
7.3333263,26,3175.448267,
13.333326,22,3176.088445,
-0.66666985,15,3176.563517,
9.999994,19,3177.13151,
5.111105,23,3177.788323,
9.999994,19,3178.357725,
-1.5555592,17,3178.898427,
9.999994,19,3179.485017,
11.111105,20,3180.08475,
1.1111088,11,3180.506552,
-7.7777777,3,3180.754537,
7.628912,17,3181.270128,
5.257826,25,3181.952939,
9.999994,19,3182.499606,
-328.1638,68,3184.4771,
9.999994,20,3185.349013,
9.999994,19,3185.923721,
22.993896,31,3186.760018,
13.184465,22,3187.384825,
-398.87662,73,3189.106202,
10.444437,25,3189.796001,
-5.8155327,21,3190.415365,
-168.87662,50,3191.625996,
9.997854,25,3192.308614,
-22.224367,26,3193.045138,
22.993896,31,3193.892681,
9.999994,20,3194.479796,
1.1111088,11,3194.892117,
21.415756,43,3196.359849,
1.0356102,14,3196.831384,
1.1111088,11,3197.237828,
1.2578297,17,3197.76611,
9.999994,21,3198.385799,
13.474844,28,3199.167022,
-9.853285,27,3199.914492,
15.566097,27,3200.682554,
-0.7421684,18,3201.232281,
-0.66666985,15,3201.746219,
-318.87662,65,3203.312719,
-43.679718,51,3204.626412,
-356.6999,73,3206.355213,
5.5555515,15,3207.185398,
11.0356045,24,3207.881296,
7.628912,17,3208.425884,
6.2222157,24,3209.116763,
-242.70468,72,3210.903436,
-242.70468,71,3212.684287,
-242.70468,71,3214.508016,
1.0356102,14,3214.989338,
-2.2222233,8,3215.360626,
9.999994,19,3215.937401,
-192.70468,66,3217.54259,
15.566097,27,3681.298092,
14.917498,29,3682.062214,
19.411724,32,3682.905061,
15.566097,27,3683.693831,
9.999994,19,3684.282181,
7.777773,17,3684.82478,
1.1111088,11,3685.195747,
11.555548,26,3685.896776,
-5.5555553,5,3686.202664,
11.111105,20,3686.792419,
10.444437,25,3687.499857,
9.999994,19,3688.058975,
1.1111097,11,3688.706071,
11.555548,26,3689.423936,
11.555548,26,3690.125386,
15.566097,27,3690.880556,
9.999994,19,3691.453701,
9.999994,19,3692.022538,
11.555548,26,3692.758558,
9.999994,19,3693.312982,
9.999994,19,3693.84658,
10.444437,25,3694.542928,
11.555548,26,3695.739509,
11.555548,26,3696.490661,
6.666662,16,3697.01135,
10.444437,25,3697.722732,
11.555548,26,3698.446529,
15.555548,24,3699.132015,
11.555548,26,3699.854895,
15.566097,27,3700.579046,
16.671103,28,3701.330168,
-2.2222233,8,3701.703943,
15.566097,27,3702.479126,
10.444437,25,3703.177102,
16.671103,28,3703.954555,
9.999994,19,3704.515025,
18.228441,30,3705.328053,
9.999994,19,3705.88684,
10.444437,25,3706.564221,
-258.86484,61,3708.010185,
15.566097,27,3708.767524,
12.222216,21,3709.358596,
9.999994,19,3709.906891,
9.999994,19,3710.925199,
8.888884,18,3711.488671,
11.555548,26,3712.232622,
11.555548,26,3712.968657,
-1.9073486e-06,10,3713.373162,
9.999994,19,3714.00542,
15.566097,27,3714.780371,
10.444437,25,3715.487188,
-4.4444447,6,3715.822535,
9.999994,19,3716.390297,
9.999994,19,3716.968426,
9.999994,19,3717.531971,
16.671103,28,3718.35957,
-283.07288,62,3719.886901,
14.917498,29,3720.726861,
9.999994,19,3721.30853,
11.555548,26,3722.050726,
18.716537,34,3722.995495,
9.999994,19,3723.580364,
11.111105,20,3724.440927,
7.777773,17,3724.996048,
11.555548,26,3726.189846,
9.999994,19,3726.77367,
9.999994,19,3727.360968,
13.333326,22,3728.060135,
15.566097,27,3728.809808,
9.999994,19,3729.404441,
9.999994,19,3729.985725,
9.999994,19,3730.572903,
16.671103,28,3731.367745,
11.555548,26,3732.10829,
-97.062836,46,3733.28587,
9.999994,19,3733.885638,
7.777773,17,3734.411404,
7.3333263,25,3735.09951,
8.888884,18,3735.650078,
3.3333302,13,3736.109262,
9.999994,19,3736.693775,
-309.08252,63,3738.208598,
9.999994,19,3738.804635,
9.333326,24,3739.444175,
9.999994,19,3739.974045,
11.555548,26,3740.669919,
1.1111097,11,3741.067395,
5.9999943,31,4151.928476,
1.111105,40,4152.926909,
-2.4444485,23,4153.629862,
9.999994,24,4154.361456,
5.9999943,41,4155.34833,
8.222216,30,4156.127065,
7.111105,38,4157.043812,
-0.88889503,37,4158.090468,
7.111105,36,4159.027305,
5.111105,34,4159.936766,
5.9999943,35,4160.839807,
-112.07551,75,4162.436494,
-10.000006,39,4163.379937,
9.999994,26,4164.0757,
11.111105,28,4164.837049,
5.111105,56,4166.182887,
1.111105,42,4167.24296,
1.9999943,36,4168.157847,
7.111105,28,4169.448547,
9.999994,34,4170.317122,
4.2222157,58,4171.727855,
3.111105,29,4172.561515,
7.111105,31,4173.419379,
5.111105,43,4174.51014,
6.2222157,40,4175.786799,
3.111105,41,4176.863545,
6.2222157,51,4178.137701,
9.999994,29,4178.988918,
2.2222157,43,4180.007136,
9.999994,32,4180.805651,
3.111105,45,4181.789906,
8.222216,30,4182.499757,
9.999994,24,4183.141061,
6.2222157,35,4183.976473,
5.111105,37,4184.851797,
-5.722046e-06,39,4185.769931,
-78.38623,164,4189.93364,
9.999994,28,4190.701549,
3.3333302,21,4191.313152,
7.111105,38,4192.242995,
0.22221565,49,4193.388065,
3.111105,35,4194.253412,
8.813383,38,4195.145878,
7.111105,32,4195.946839,
9.999994,23,4196.567024,
3.9999943,47,4197.630443,
7.111105,40,4198.543003,
7.111105,47,4199.618319,
5.111105,50,4200.804428,
11.111105,29,4202.037545,
6.2222157,35,4202.878643,
8.222216,29,4203.643807,
1.9999943,53,4507.545135,
7.111105,45,4508.707942,
3.9999943,26,4509.419571,
5.111105,40,4510.39543,
3.9999943,51,4511.62045,
5.9999943,31,4512.456261,
-4.4444447,6,4512.777673,
7.111105,64,4514.241635,
3.9999943,37,4515.170216,
9.333326,40,4516.168432,
