#{"t_start": 1665418421.216946, "env_id": null}
r,l,t,is_success
-22.482193,6,6259.298975,
-8.964388,5,6259.620159,
-24.482193,7,6259.981418,
-12.888889,4,6260.291557,
-8.964388,5,6260.589623,
-4.817664,9,6260.951577,
-104.48219,16,6261.479381,
-8.891027,8,6261.857596,
-12.815527,7,6262.218633,
-9.853277,7,6262.561459,
-12.888889,4,6262.853053,
-8.964388,5,6263.13668,
-14.0,3,6263.416499,
-14.0,3,6263.69058,
-8.964388,5,6264.014403,
-14.0,3,6264.284685,
-8.891027,8,6264.640904,
-73.926636,17,6265.164351,
-8.964388,5,6265.474903,
-54.964386,13,6265.962201,
-7.9266386,3,6266.239242,
-66.48219,16,6266.757525,
-14.0,3,6267.032664,
-4.7443037,12,6267.481966,
-8.964388,6,6267.82033,
-94.48219,18,6268.394451,
-8.891027,8,6268.761307,
-8.964388,5,6269.068874,
-22.482193,6,6269.389585,
-8.964388,5,6269.712701,
-22.964388,8,6270.055542,
-4.7443037,12,6270.509485,
-16.0,4,6270.815454,
-14.0,3,6271.091997,
-10.964388,6,6271.639227,
-30.964388,9,6272.031459,
-10.964388,6,6272.3726,
-22.482193,6,6272.722449,
-14.0,3,6272.990516,
-8.964388,5,6273.294866,
-12.888889,4,6273.560305,
-4.817664,9,6273.952411,
-14.0,3,6274.250468,
-8.964388,5,6274.573435,
-8.964388,5,6274.88815,
-26.817665,12,6275.35737,
-14.0,3,6276.207137,
-14.0,3,6276.47138,
-14.0,3,6276.760311,
-8.964388,5,6277.082199,
-8.891027,8,6277.429937,
-30.964388,9,6277.79803,
-8.964388,5,6278.108524,
-14.0,3,6278.397777,
-57.853275,20,6279.029345,
-12.815527,7,6279.398038,
-8.964388,5,6279.700277,
-4.7443037,12,6280.167505,
-14.0,3,6280.463289,
-8.891027,8,6280.848436,
-12.888889,4,6281.150362,
-22.482193,6,6281.459228,
-30.964388,9,6281.863918,
-16.815527,9,6282.271076,
-8.964388,5,6282.557227,
-14.0,3,6282.821836,
-24.744305,14,6283.294451,
-8.964388,5,6283.624109,
-14.0,3,6283.894984,
-30.964388,9,6284.302568,
-12.002137,9,6284.718364,
-8.964388,5,6284.997942,
-27.779915,11,6285.397245,
-20.964388,7,6285.737742,
-8.964388,5,6286.061811,
-8.891027,8,6286.418836,
-3.633193,14,6286.891835,
-10.8910265,9,6287.272327,
-14.0,3,6287.545493,
-14.0,3,6287.798289,
-4.8176656,9,6292.844517,
