#{"t_start": 1663083818.9550903, "env_id": null}
r,l,t,is_success
-11.555555,19,3007.281269,
-96.33547,48,3008.375335,
-14.0,3,3008.602,
-10.66667,33,3009.390488,
-14.0,5,3009.642081,
1.1089706,32,3010.405242,
-14.0,7,3010.715687,
-285.33548,71,3012.220904,
-9.555555,17,3012.716175,
3.2578297,25,3013.358758,
1.0356102,22,3013.969952,
-1.6310596,34,3014.832645,
-14.0,3,3015.05299,
-36.70442,31,3015.793181,
-14.0,4,3016.050271,
2.6666622,31,3016.832228,
-11.777778,15,3017.308295,
-30.00214,33,3018.149802,
-16.0,9,3018.535328,
-60.29772,27,3019.230195,
4.0712204,32,3019.974532,
-0.0021400452,30,3020.711191,
-112.742165,28,3021.91965,
-214.22437,47,3023.036145,
-203.18661,42,3024.02592,
3.0356112,62,3025.389294,
-53.186615,52,3026.598759,
-254.74216,45,3027.657754,
-224.74217,67,3029.113822,
-92.48219,16,3029.613062,
1.2578297,28,3030.330507,
4.29558,25,3030.966752,
-160.29773,69,3032.387649,
4.3689404,27,3033.091633,
-14.0,6,3033.394529,
-72.224365,77,3035.017277,
-4.888891,18,3035.568729,
-14.0,4,3035.851482,
0.14672089,35,3036.712442,
-41.11325,45,3038.175211,
-75.63106,39,3039.141796,
-119.40884,59,3040.53872,
-12.037754,42,3041.586386,
-14.0,7,3041.913667,
1.8489981,26,3042.598268,
-80.964386,38,3043.5122,
6.8867455,95,3045.554888,
-53.335472,26,3046.266113,
-14.0,3,3046.51581,
-131.40884,51,3047.936038,
-2.8888912,18,3048.512665,
-8.964388,13,3048.963604,
-30.595448,48,3050.117618,
-20.595448,65,3051.58836,
-4.666669,27,3052.291633,
-72.52209,74,3054.354012,
-11.555555,14,3054.813236,
-36.07551,79,3056.480463,
-8.74217,27,3057.206384,
-2.8888912,28,3057.961614,
-42.81767,32,3058.776548,
-14.0,3,3059.039918,
-20.00214,50,3060.408977,
-6.668804,16,3060.894981,
-106.742165,24,3061.547573,
-153.63106,35,3062.442049,
-7.335471,53,3063.618269,
0.8133888,69,3065.09455,
-5.5576935,37,3065.972026,
-11.777777,30,3066.730005,
-7.8532763,28,3067.434581,
-431.85327,80,3069.176029,
0.7378893,43,3070.65034,
-12.888889,8,3070.99985,
-14.0,3,3071.244743,
-14.888889,11,3071.645895,
-13.999998,20,3072.264708,
-14.0,4,3072.543895,
-5.5576935,28,3073.32364,
-171.40883,75,3074.995481,
-1.1132498,49,3076.113147,
-9.555554,37,3076.925048,
-9.555554,37,3077.742501,
-155.5577,82,3079.559705,
-13.999999,16,3080.06482,
-92.51994,80,3081.80838,
-12.888889,18,3082.34024,
-11.777777,13,3082.777733,
-12.888888,13,3083.206645,
-8.891026,43,3084.216976,
-13.777778,17,3084.740838,
-13.999999,14,3085.204857,
-6.6688027,101,3087.809823,
-232.63106,51,3088.975545,
-5.631055,18,3089.52765,
-7.6310544,24,3090.17962,
-15.999999,18,3090.746311,
-10.666666,37,3091.670571,
-54.742165,76,3093.326818,
-12.888887,25,3094.236608,
-12.888889,11,3094.661793,
-1.4843321,28,3095.377341,
-126.29772,51,3096.522848,
-14.0,7,3096.84856,
-11.777777,21,3097.426211,
1.9244995,30,3098.187109,
-11.555555,22,3098.788387,
-12.888889,16,3099.264182,
-0.9643898,21,3099.84512,
-14.0,4,3100.124495,
-352.51996,117,3102.975868,
-19.408833,92,3104.793045,
-5.631054,45,3105.814877,
-5.11325,49,3106.925512,
-373.4088,81,3108.677165,
-8.964386,23,3109.286251,
-930.7422,146,3112.387697,
-13.999996,46,3113.426526,
-8.891026,114,3115.709502-9.853277,7,5389.332122,
-63.371082,12,5390.358272,
-14.0,3,5391.237756,
-70.81553,13,5392.258835,
-7.5576944,12,5393.304333,
-9.853277,7,5394.280804,
-12.888889,4,5395.031753,
-62.482193,10,5395.998907,
-77.07764,23,5397.557277,
-8.7421665,8,5398.455288,
